	Translation	Ribosome	Aminoacyl.tRNA.biosynthesis	Transfer.RNA.biogenesis	RBP.score	RBP.Pfam.domains	Product.description.KO	Product.description.ncbi		Name.to.use
LAbrini_12395	FALSE	FALSE	FALSE	FALSE	0.981779	"S4;tRNA-synt_1b"	class I SAM-dependent RNA methyltransferase	class I SAM-dependent RNA methyltransferase		class I SAM-dependent RNA methyltransferase
LAbrini_09715	FALSE	TRUE	FALSE	FALSE	0.98158765	"Fer4_14;Radical_SAM"	50S ribosomal protein L1	50S ribosomal protein L1		50S ribosomal protein L1
LAbrini_10520	FALSE	FALSE	FALSE	FALSE	0.9776664	S4_2	single-stranded DNA-binding protein	30S ribosomal protein S6		single-stranded DNA-binding protein
LAbrini_16880	FALSE	TRUE	FALSE	FALSE	0.97734374	"tRNA-synt_2d;Phe_tRNA-synt_N"	ribosome biogenesis GTPase YlqF	ribosome biogenesis GTPase YlqF		ribosome biogenesis GTPase YlqF
LAbrini_16780	FALSE	FALSE	FALSE	FALSE	0.9739232	PseudoU_synth_1	#N/D	nucleotidyltransferase		nucleotidyltransferase
LAbrini_14195	FALSE	TRUE	FALSE	FALSE	0.97047913	"Ribonucleas_3_3;dsrm"	pseudouridine synthase	RluA family pseudouridine synthase		pseudouridine synthase
LAbrini_09655	FALSE	TRUE	FALSE	FALSE	0.969681	CsrA	50S ribosomal protein L4	50S ribosomal protein L4		50S ribosomal protein L4
LAbrini_17010	FALSE	TRUE	FALSE	FALSE	0.96932644	CsrA	30S ribosomal protein S15	30S ribosomal protein S15		30S ribosomal protein S15
LAbrini_06565	FALSE	TRUE	FALSE	FALSE	0.9690833	"DEAD;Helicase_C"	50S ribosomal protein L20	50S ribosomal protein L20		50S ribosomal protein L20
LAbrini_16035	FALSE	TRUE	FALSE	FALSE	0.9675231	tRNA_Me_trans	TlyA family rRN	TlyA family RNA methyltransferase		TlyA family RNA methyltransferase
LAbrini_09720	FALSE	TRUE	FALSE	FALSE	0.96651566	KH_4	50S ribosomal protein L11	50S ribosomal protein L11		50S ribosomal protein L11
LAbrini_15795	FALSE	FALSE	FALSE	FALSE	0.9592731	Hfq	#N/D	YlmH/Sll1252 family protein		YlmH/Sll1252 family protein
LAbrini_09970	FALSE	FALSE	FALSE	FALSE	0.9581299	Ribonuclease_3	#N/D	RNA-binding S4 domain-containing protein		RNA-binding S4 domain-containing protein
LAbrini_06195	FALSE	FALSE	FALSE	TRUE	0.9575796	"DUF4093;Toprim;Toprim_4"	D-tyrosyl-tRNA(Tyr) deacylase	D-aminoacyl-tRNA deacylase		D-aminoacyl-tRNA deacylase
LAbrini_06550	FALSE	FALSE	TRUE	FALSE	0.95071286	HIGH_NTase1	phenylalanine--tRNA ligase subunit beta	phenylalanine--tRNA ligase subunit beta		phenylalanine--tRNA ligase subunit beta
LAbrini_09640	FALSE	TRUE	FALSE	FALSE	0.9483186	OrfB_Zn_ribbon	30S ribosomal protein S19	30S ribosomal protein S19		30S ribosomal protein S19
LAbrini_09635	FALSE	TRUE	FALSE	FALSE	0.9477508	#N/D	50S ribosomal protein L22	50S ribosomal protein L22		50S ribosomal protein L22
LAbrini_09535	FALSE	FALSE	FALSE	FALSE	0.93900365	"S1;KH_5;NusA_N"	#N/D	30S ribosomal protein S11		30S ribosomal protein S11
LAbrini_07665	FALSE	FALSE	FALSE	TRUE	0.9333318	DUF448	ribonuclease PH	ribonuclease PH		ribonuclease PH
LAbrini_18795	FALSE	FALSE	FALSE	FALSE	0.9324941	"PseudoU_synth_2;S4"	#N/D	hypothetical protein		hypothetical protein
LAbrini_04095	FALSE	TRUE	FALSE	FALSE	0.92250305	"PseudoU_synth_2;S4"	30S ribosomal protein S1	30S ribosomal protein S1		30S ribosomal protein S1
LAbrini_06850	FALSE	FALSE	FALSE	FALSE	0.9080281	"S1;LYTB"	type I-B CRISPR-associated protein Cas5	type I-B CRISPR-associated protein Cas5b		type I-B CRISPR-associated protein Cas5b
LAbrini_07735	FALSE	TRUE	FALSE	FALSE	0.90705067	#N/D	rRNA pseudouridine synthase	rRNA pseudouridine synthase		rRNA pseudouridine synthase
LAbrini_08310	FALSE	FALSE	TRUE	FALSE	0.9042976	"CBS;DHH;DHHA1;PolyA_pol;PolyA_pol_RNAbd;tRNA_NucTran2_2"	tyrosine--tRNA ligase	tyrosine--tRNA ligase		tyrosine--tRNA ligase
LAbrini_08225	FALSE	FALSE	FALSE	FALSE	0.88736457	#N/D	#N/D	hypothetical protein		hypothetical protein
LAbrini_09685	FALSE	TRUE	FALSE	FALSE	0.8792266	"S1;S1_2"	30S ribosomal protein S12	30S ribosomal protein S12		30S ribosomal protein S12
LAbrini_16090	FALSE	FALSE	FALSE	FALSE	0.8690132	"DEAD;Helicase_C;DbpA"	CCA tRNA nucleotidyltransferase	CCA tRNA nucleotidyltransferase		CCA tRNA nucleotidyltransferase
LAbrini_17105	FALSE	FALSE	TRUE	FALSE	0.86548537	MMR_HSR1	glutamate--tRNA ligase	glutamate--tRNA ligase		glutamate--tRNA ligase
LAbrini_09565	FALSE	TRUE	FALSE	FALSE	0.86084676	PemK_toxin	50S ribosomal protein L15	50S ribosomal protein L15		50S ribosomal protein L15
LAbrini_07100	FALSE	FALSE	FALSE	FALSE	0.8551071	"SpoU_methylase;SpoU_sub_bind"	ATP-dependent helicase	DEAD/DEAH box helicase		DEAD/DEAH box helicase
LAbrini_10510	FALSE	FALSE	FALSE	FALSE	0.8523033	"THUMP;UPF0020"	#N/D	30S ribosomal protein S18		30S ribosomal protein S18
LAbrini_16970	FALSE	FALSE	FALSE	FALSE	0.8414906	Flavodoxin_5	transcription termination/antiterminatio	transcription termination factor NusA		transcription termination factor NusA
LAbrini_02175	FALSE	FALSE	FALSE	FALSE	0.83104897	Cas_Cas5d	#N/D	hypothetical protein		hypothetical protein
LAbrini_10855	FALSE	FALSE	FALSE	FALSE	0.8295603	SpoU_methylase	transposase	RNA-guided endonuclease TnpB family protein		RNA-guided endonuclease TnpB family protein
LAbrini_14160	FALSE	TRUE	FALSE	FALSE	0.8013866	"NusB;Methyltr_RsmB-F;Methyltr_RsmF_N"	50S ribosomal protein L21	50S ribosomal protein L21		50S ribosomal protein L21
LAbrini_01070	FALSE	TRUE	FALSE	FALSE	0.7964104	#N/D	rRNA pseudouridine synthase	rRNA pseudouridine synthase		rRNA pseudouridine synthase
LAbrini_09660	FALSE	TRUE	FALSE	FALSE	0.792466	"S4;FtsJ"	50S ribosomal protein L3	50S ribosomal protein L3		50S ribosomal protein L3
LAbrini_16010	FALSE	FALSE	FALSE	FALSE	0.755841	RdRP	transcription antitermination factor NusB	transcription antitermination factor NusB		transcription antitermination factor NusB
LAbrini_09645	FALSE	TRUE	FALSE	FALSE	0.75252837	S4	50S ribosomal protein L2	50S ribosomal protein L2		50S ribosomal protein L2
